"t","date","phi","variance","sampleSize","binning","daysPerBin","haplotypes","numMut"
10,"2021-01-11",125.794949846628,0.0142857142857143,70,"eq_days_15",15,64,70
16,"2021-01-17",185.249599448136,0.004149377593361,241,"eq_days_20",20,194,241
21,"2021-01-22",428.175470885857,0.00167224080267559,598,"eq_days_30",30,482,598
22,"2021-01-23",472.928786422117,0.00153139356814701,653,"eq_size_names_653",31,528,653
24,"2021-01-25",504.32436289657,0.00157728706624606,634,"eq_days_15",15,508,634
32,"2021-02-02",770.10160818918,0.000866551126516464,1154,"eq_days_20",20,904,1154
35,"2021-02-05",597.28950565613,0.00153139356814701,653,"eq_size_names_653",10,528,653
38,"2021-02-08",936.607908616894,0.000923361034164358,1083,"eq_days_15",15,881,1083
44,"2021-02-14",764.296616760955,0.00153139356814701,653,"eq_size_names_653",10,550,653
46,"2021-02-16",1358.85736235704,0.000392464678178964,2548,"eq_days_30",30,1935,2548
51,"2021-02-21",1120.80930169695,0.000571102227298686,1751,"eq_days_20",20,1360,1751
53,"2021-02-23",1080.18226224153,0.000611995104039168,1634,"eq_size_names_1634",18,1272,1634
54,"2021-02-24",1076.79169447968,0.000700770847932726,1427,"eq_days_15",15,1132,1427
64,"2021-03-06",1410.93988008202,0.000437062937062937,2288,"eq_size_names_2288",30,1792,2288
68,"2021-03-10",1089.43425200119,0.000910746812386157,1098,"eq_days_15",15,914,1098
69,"2021-03-11",1170.38796418508,0.0007097232079489,1409,"eq_days_20",20,1150,1409
73,"2021-03-15",1433.53018300775,0.000611995104039168,1634,"eq_size_names_1634",27,1359,1634
74,"2021-03-16",1542.5483694561,0.000516528925619835,1936,"eq_days_30",30,1590,1936
75,"2021-03-17",1109.31910744361,0.00153139356814701,653,"eq_size_names_653",12,586,653
84,"2021-03-26",1215.6814970543,0.00117233294255569,853,"eq_days_15",15,750,853
86,"2021-03-28",996.686724008892,0.00153139356814701,653,"eq_size_names_653",14,579,653
91,"2021-04-02",1903.15290871494,0.000774593338497289,1291,"eq_days_20",20,1152,1291
98,"2021-04-09",2451.51263739556,0.000611995104039168,1634,"eq_size_names_1634",22,1467,1634
98,"2021-04-09",2891.83896943244,0.000437062937062937,2288,"eq_size_names_2288",31,2019,2288
99,"2021-04-10",2193.16944660188,0.000820344544708778,1219,"eq_days_15",15,1115,1219
105,"2021-04-16",3101.56178577144,0.000402090872537193,2487,"eq_days_30",30,2188,2487
109,"2021-04-20",2494.84124395571,0.000580383052814858,1723,"eq_days_20",20,1533,1723
113,"2021-04-24",2046.85821748388,0.000825763831544178,1211,"eq_days_15",15,1095,1211
117,"2021-04-28",2124.50042076473,0.000611995104039168,1634,"eq_size_names_1634",18,1425,1634
123,"2021-05-04",2618.10833281015,0.000437062937062937,2288,"eq_size_names_2288",26,1979,2288
128,"2021-05-09",2521.03257404595,0.00060790273556231,1645,"eq_days_15",15,1463,1645
129,"2021-05-10",2647.03068956134,0.000498504486540379,2006,"eq_days_20",20,1759,2006
132,"2021-05-13",2404.14507949887,0.000393545848091303,2541,"eq_days_30",30,2145,2541
133,"2021-05-14",2099.18257058081,0.000611995104039168,1634,"eq_size_names_1634",20,1427,1634
139,"2021-05-20",882.874933535139,0.00153139356814701,653,"eq_size_names_653",10,562,653
143,"2021-05-24",957.615733613,0.00107642626480086,929,"eq_days_15",15,778,929
149,"2021-05-30",632.176094287011,0.00104166666666667,960,"eq_days_20",20,750,960
150,"2021-05-31",569.585502417852,0.00153139356814701,653,"eq_size_names_653",15,532,653
157,"2021-06-07",237.580944337723,0.00236406619385343,423,"eq_days_15",15,315,423
160,"2021-06-10",377.795259572444,0.00151515151515152,660,"eq_days_30",30,509,660
171,"2021-06-21",229.759349279214,0.00425531914893617,235,"eq_days_20",20,197,235
173,"2021-06-23",192.636119649279,0.00529100529100529,189,"eq_days_15",15,158,189
191,"2021-07-11",327.287047376043,0.00465116279069767,215,"eq_days_15",15,191,215
192,"2021-07-12",402.238096825833,0.00343642611683849,291,"eq_days_20",20,257,291
200,"2021-07-20",743.477003862818,0.00138312586445367,723,"eq_days_30",30,618,723
204,"2021-07-24",703.636948570088,0.00198807157057654,503,"eq_days_15",15,441,503
209,"2021-07-29",937.365030886948,0.00153139356814701,653,"eq_size_names_653",16,576,653
211,"2021-07-31",1220.83170487701,0.0011037527593819,906,"eq_days_20",20,797,906
219,"2021-08-08",1220.84730719404,0.00109051254089422,917,"eq_days_15",15,798,917
221,"2021-08-10",895.392445096902,0.00153139356814701,653,"eq_size_names_653",11,565,653
223,"2021-08-12",2254.58062980472,0.000611995104039168,1634,"eq_size_names_1634",22,1447,1634
226,"2021-08-15",3121.83939353702,0.000437062937062937,2288,"eq_size_names_2288",26,2033,2288
228,"2021-08-17",3758.75880316697,0.00034494653328734,2899,"eq_days_30",30,2566,2899
231,"2021-08-20",3565.54406474517,0.000412371134020619,2425,"eq_days_20",20,2163,2425
233,"2021-08-22",3637.30253726728,0.000489476260401371,2043,"eq_days_15",15,1865,2043
236,"2021-08-25",3172.09002207609,0.000611995104039168,1634,"eq_size_names_1634",14,1513,1634
243,"2021-09-01",3624.36510763734,0.000437062937062937,2288,"eq_size_names_2288",17,2055,2288
248,"2021-09-06",2780.93973974648,0.000611995104039168,1634,"eq_size_names_1634",11,1462,1634
248,"2021-09-06",3439.11110188126,0.00046882325363338,2133,"eq_days_15",15,1913,2133
251,"2021-09-09",4122.88128153422,0.000330250990752972,3028,"eq_days_20",20,2668,3028
254,"2021-09-12",4664.23707979483,0.000242013552758955,4132,"eq_days_30",30,3581,4132
259,"2021-09-17",2637.51720024043,0.000611995104039168,1634,"eq_size_names_1634",12,1454,1634
259,"2021-09-17",3057.64961569792,0.000437062937062937,2288,"eq_size_names_2288",19,2007,2288
263,"2021-09-21",2891.12533492585,0.000470366886171214,2126,"eq_days_15",15,1856,2126
271,"2021-09-29",3301.61743592335,0.000395413206801107,2529,"eq_days_20",20,2214,2529
272,"2021-09-30",2485.0207752462,0.000611995104039168,1634,"eq_size_names_1634",14,1448,1634
277,"2021-10-05",3165.18865883208,0.000437062937062937,2288,"eq_size_names_2288",22,2027,2288
278,"2021-10-06",2749.16321132808,0.000575705238917674,1737,"eq_days_15",15,1553,1737
283,"2021-10-11",3758.410693771,0.000339904826648538,2942,"eq_days_30",30,2598,2942
286,"2021-10-14",2728.33980322653,0.000611995104039168,1634,"eq_size_names_1634",21,1493,1634
290,"2021-10-18",2488.48699278749,0.000659195781147001,1517,"eq_days_20",20,1379,1517
294,"2021-10-22",1884.87132240048,0.000928505106778087,1077,"eq_days_15",15,980,1077
296,"2021-10-24",1309.10253521159,0.00153139356814701,653,"eq_size_names_653",11,602,653
304,"2021-11-01",3648.33231529852,0.000437062937062937,2288,"eq_size_names_2288",29,2097,2288
307,"2021-11-04",1503.80295405991,0.00153139356814701,653,"eq_size_names_653",11,621,653
308,"2021-11-05",2935.65939819586,0.000611995104039168,1634,"eq_size_names_1634",21,1515,1634
310,"2021-11-07",2472.67986917933,0.000807754442649435,1238,"eq_days_15",15,1157,1238
312,"2021-11-09",3326.88502233561,0.000523286237571952,1911,"eq_days_20",20,1757,1911
320,"2021-11-17",4391.55798772609,0.000229673863114378,4354,"eq_days_30",30,3711,4354
323,"2021-11-20",3872.37181134091,0.000437062937062937,2288,"eq_size_names_2288",12,2052,2288
324,"2021-11-21",2854.36384687594,0.000313971742543171,3185,"eq_days_15",15,2607,3185
330,"2021-11-27",4497.93947235134,0.000208768267223382,4790,"eq_days_20",20,3990,4790
338,"2021-12-05",5910.44507082462,0.000274574409665019,3642,"eq_days_15",15,3270,3642
342,"2021-12-09",4219.98006377026,0.000437062937062937,2288,"eq_size_names_2288",11,2076,2288
343,"2021-12-10",8479.16016094312,0.000160849284220685,6217,"eq_days_30",30,5548,6217
348,"2021-12-15",6406.79798289829,0.000258397932816537,3870,"eq_days_20",20,3524,3870
352,"2021-12-19",4604.93558005096,0.000437062937062937,2288,"eq_size_names_2288",14,2135,2288
352,"2021-12-19",4860.16045477307,0.000380083618396047,2631,"eq_days_15",15,2419,2631
358,"2021-12-25",3197.08650280367,0.000611995104039168,1634,"eq_size_names_1634",12,1505,1634
